id,bucket,subbucket,content_type,emotional_trigger,save_type,best_fit_template,title_example,general_trends_signal,strategy_learnings,seasonal_window,priority
K001,01. Monsoon & Seasonal Illness,Flu shot before the monsoon flu peak,Discovery,Fear,Anxiety,Fear Hook,Is It Already TOO LATE to Get YOUR Baby the Flu Shot This Monsoon?,"In India the flu season is the monsoon itself (June to September), so doctors say the best time to vaccinate is just before the rains begin. Children getting it for the first time need two doses a month apart, which means a parent who waits past June has effectively missed the protective window. Search interest for flu shots climbs sharply as the rains arrive.","Based on your past reels, a personal fear with one clear action is your strongest reach play - your 'Is YOUR Baby Developing Normally?' reel hit 293K on exactly that. A ticking-clock hook adds urgency on top. Note: you have no vaccine reel yet, so treat the view estimate as a confident bet, not proven.",June (urgent),1
K002,01. Monsoon & Seasonal Illness,Hand-foot-mouth disease (tomato fever),Discovery,Fear,Sharing,Fear Hook + Checklist,Is THIS Rash on YOUR Baby Tomato Fever? 3 Signs to Check Now,"Hand-foot-mouth disease flares in every Indian monsoon and spreads fast through daycares and playgroups, hitting babies and toddlers hardest. Mumbai hospitals have reported several times the usual case load during past monsoon surges. Most parents confuse the rash with chickenpox or an allergy, so they actively search to identify it.","Your 293K developing-normally reel proves 'could this be MY baby?' fear with a quick self-check is your biggest reach lever, and a visible rash is the real footage that triggers it. Like your Peekaboo reel (6,054 saves, the most you have ever had), a warn-other-parents angle gets it forwarded through family groups.",June-July,1
K003,01. Monsoon & Seasonal Illness,When baby fever becomes an emergency,Discovery,Fear,Anxiety,Fear Hook + Checklist,When Should YOU Rush to the ER for Baby Fever? The Doctor's Rule,"Viral fever, dengue and malaria all spike during the monsoon, and outpatient departments report a sharp rise in feverish children. 'How high is too high for baby fever' is one of the most panicked late-night searches parents make all year, and it intensifies in the rains.","Your Breech Baby reel pulled 175K and 1,313 saves (0.75%) because fear-plus-information makes parents save it for reference - a fever rule is the same kind of keep-this-for-later content.",July (peak),1
K004,01. Monsoon & Seasonal Illness,"Diarrhoea, vomiting and dehydration",Authority,Fear,Anxiety,Fear Hook + Instructive,Is YOUR Baby Dehydrated? The Simple Pinch Test Every Parent Must Know,"Monsoon water contamination drives a surge in stomach infections, typhoid and hepatitis A, and diarrhoea remains a real cause of young-child deaths in India. Parents search heavily for what to feed a vomiting child and when it becomes dangerous.","Your Breech Baby reel (175K, 0.75% save rate) shows fear-plus-a-clear-step gets saved. A hands-on test demonstrated on a real baby is the close-up, real-footage style that outperformed every CGI piece you have made.",July (peak),2
K005,01. Monsoon & Seasonal Illness,Cough syrup safety for young children,Authority,Fear,Sharing,Safe or Not + Counter-Intuitive,NEVER Give YOUR Under-4 This Cough Syrup - Here's Why,"A 2025 contaminated cough-syrup tragedy killed several Indian children and dominated national news, leaving lasting fear about over-the-counter medicines. At the same time monsoon humidity causes a wave of coughs and colds, so parents are anxiously searching what is safe to give.","Your Cow Milk Safe-or-Not reel reached 94.4K because a blunt verdict on a common habit works. A flat 'never' correction lands the same way and, tied to a national news fear, gets forwarded like your high-save content.",June-July,1
K006,01. Monsoon & Seasonal Illness,Safe mosquito protection for babies,Authority,Curiosity,Anxiety,Safe or Not,Mosquito Repellent on Babies - Safe or Not? Doctor Settles It,"Dengue, malaria and chikungunya peak in the monsoon, and parents worry about which repellents, patches, creams and nets are actually safe for infant skin. Questions about specific repellent brands surge every rainy season.",This is your proven format exactly - your Cow Milk 'Safe or Not?' reel hit 94.4K. Judging a product category without naming a brand keeps the trust that your data says you must protect.,July,2
K007,01. Monsoon & Seasonal Illness,Fast or laboured breathing (pneumonia warning),Discovery,Fear,Anxiety,Fear Hook,"If YOUR Baby Breathes Like THIS, Don't Wait - Watch Now","Damp monsoon air raises cases of viral pneumonia and chest infections in babies, and fast breathing is the single warning sign that doctors most wish parents knew to count. Awareness of it is low despite how serious it is.",Your Blue Baby footage ('this baby is turning blue and breathing heavily') was called the single best hook in your whole library but was buried at 12K - a breathing-warning video with real footage is built on that exact strength.,July-Aug,2
K008,01. Monsoon & Seasonal Illness,Skin and fungal rashes in humidity,Authority,Curiosity,Sharing,Q&A + Instructive,Why Does YOUR Baby Get These Monsoon Rashes - And What Actually Helps,"High humidity triggers heat rash, nappy rash and fungal infections in skin folds, which are among the most common monsoon complaints parents bring to pediatricians. Parents search constantly for safe creams and home care.","Your Breastmilk Bath reel hit 57.4K on curiosity plus real Indian-baby footage. A visible, relatable skin problem shown on a real baby taps the same curiosity-and-realness lever.",July-Aug,3
K009,01. Monsoon & Seasonal Illness,Keeping babies dry and warm in the rains,Authority,Curiosity,Sharing,Checklist + Instructive,5 Monsoon Mistakes Indian Parents Make With Newborns,"Sudden temperature swings during the rains are blamed for many infant colds and chest infections, and seasonal 'monsoon baby care' guides spike in search every June.","Your Superstition reel (58.1K, 998 saves) earned your highest comment ratio by calling out common practices - a 'mistakes Indian parents make' framing triggers the same debate engine.",June-July,3
K010,01. Monsoon & Seasonal Illness,Typhoid and contaminated water dangers,Authority,Fear,Anxiety,Fear Hook + Instructive,The Monsoon Illness That Hides as 'Just a Fever' in Children,"Typhoid and other water-borne infections rise sharply when monsoon flooding contaminates supply, and they often masquerade as an ordinary lingering fever, delaying treatment.",Your 293K developing-normally reel proves the scariest content is a danger parents did not know to watch for. A hidden illness behind an 'ordinary fever' uses that unknown-threat lever; a see-a-doctor rule earns the save.,July (peak),3
K011,01. Monsoon & Seasonal Illness,Conjunctivitis (eye flu) in children,Authority,Concerned,Sharing,Q&A + Instructive,Eye Flu Is Spreading - How to Protect YOUR Child This Monsoon,"Conjunctivitis outbreaks sweep through Indian cities every monsoon and spread rapidly among children in schools, often making the news and driving a wave of worried searches.","Your Peekaboo reel got 6,054 saves (2.02%, your best ever) because forwardable content spreads fastest. A spreading, visible outbreak that parents warn each other about rides that same sharing behaviour.",July-Aug,3
